onset	duration	event_type
2.02	3.50	cor_rejec
7.57	3.50	omiss
13.08	3.50	cor_rejec
18.59	3.50	omiss
24.21	3.50	cor_rejec
29.70	3.50	cor_rejec
35.40	3.50	hit
43.40	3.50	hit
50.90	3.50	cor_rejec
57.06	3.50	hit
62.58	3.50	cor_rejec
68.10	3.50	cor_rejec
73.60	3.50	cor_rejec
79.10	3.50	omiss
85.15	3.50	cor_rejec
90.64	3.50	cor_rejec
96.09	3.50	omiss
101.63	3.50	false_alarm
107.03	3.50	cor_rejec
112.67	3.50	cor_rejec
118.07	3.50	omiss
123.60	3.50	cor_rejec
129.15	3.50	omiss
134.60	3.50	cor_rejec
140.10	3.50	hit
145.62	3.50	cor_rejec
151.34	3.50	hit
156.75	3.50	omiss
162.29	3.50	omiss
169.65	3.50	cor_rejec
177.65	3.50	hit
184.65	3.50	false_alarm
190.12	3.50	omiss
195.52	3.50	cor_rejec
200.97	3.50	cor_rejec
206.44	3.50	hit
212.09	3.50	false_alarm
219.49	3.50	hit
227.46	3.50	hit
234.66	3.50	omiss
240.19	3.50	miss
245.66	3.50	omiss
251.06	3.50	cor_rejec
256.56	3.50	hit
262.21	3.50	omiss
267.68	3.50	hit
273.08	3.50	omiss
278.86	3.50	cor_rejec
284.33	3.50	omiss
289.86	3.50	false_alarm
295.34	3.50	cor_rejec
300.88	3.50	omiss
306.35	3.50	cor_rejec
311.96	3.50	cor_rejec
317.36	3.50	omiss
323.36	3.50	cor_rejec
328.90	3.50	cor_rejec
334.31	3.50	omiss
339.80	3.50	cor_rejec
345.20	3.50	cor_rejec
353.00	3.50	hit
361.00	3.50	cor_rejec
367.10	3.50	hit
372.59	3.50	cor_rejec
377.99	3.50	cor_rejec
383.40	3.50	hit
388.92	3.50	hit
394.55	3.50	hit
399.95	3.50	miss
405.44	3.50	cor_rejec
410.86	3.50	omiss
416.31	3.50	hit
421.76	3.50	hit
427.96	3.50	cor_rejec
435.36	3.50	hit
443.36	3.50	omiss
450.41	3.50	cor_rejec
455.96	3.50	false_alarm
461.41	3.50	hit
466.86	3.50	omiss
472.37	3.50	cor_rejec
477.92	3.50	omiss
483.36	3.50	cor_rejec
488.87	3.50	hit
494.41	3.50	cor_rejec
499.86	3.50	miss
505.43	3.50	omiss
510.86	3.50	omiss
516.44	3.50	cor_rejec
521.84	3.50	cor_rejec
